TRUE,Predicted,Overlap
'n03404251', 'n03404251',0.1390290038
'n03404251', 'n03404251',0.252173913
'n03404251', 'n03404251',0.2667513496
'n03404251', 'n03404251',0.2875
'n03404251', 'n03404251',0.2916666667
'n03404251', 'n03404251',0.3373879641
'n03404251', 'n03404251',0.3374233129
'n03404251', 'n03404251',0.3640058055
'n03404251', 'n03404251',0.3937789543
'n03404251', 'n03404251',0.396
'n03404251', 'n03404251',0.4119072343
'n03404251', 'n03404251',0.43070127
'n03404251', 'n03404251',0.5129310345
'n03404251', 'n03404251',0.5202331962
'n03404251', 'n03404251',0.5374771481
'n03404251', 'n03404251',0.5375
'n03404251', 'n03404251',0.5539273154
'n03404251', 'n03404251',0.562962963
'n03404251', 'n03404251',0.5729794934
'n03404251', 'n03404251',0.5730302087
'n03404251', 'n03404251',0.5972086985
'n03404251', 'n03404251',0.6337120049
'n03404251', 'n03404251',0.6512108683
'n03404251', 'n03404251',0.6593760051
'n03404251', 'n03404251',0.6611909651
'n03404251', 'n03404251',0.6686746988
'n03404251', 'n03404251',0.671641791
'n03404251', 'n03404251',0.6750998668
'n03404251', 'n03404251',0.685660019
'n03404251', 'n03404251',0.6958250497
'n03404251', 'n03404251',0.6961506962
'n03404251', 'n03404251',0.7021635291
'n03404251', 'n03404251',0.7133808393
'n03404251', 'n03404251',0.7239067986
'n03404251', 'n03404251',0.7313311688
'n03404251', 'n03404251',0.733954727
'n03404251', 'n03404251',0.7487309645
'n03404251', 'n03404251',0.7560581583
'n03404251', 'n03404251',0.757296467
'n03404251', 'n03404251',0.7581254724
'n03404251', 'n03404251',0.7751389591
'n03404251', 'n03404251',0.7987358616
'n03404251', 'n03404251',0.8077634011
'n03404251', 'n03404251',0.8162217659
'n03404251', 'n03404251',0.8253968254
'n03404251', 'n03404251',0.8375922771
'n03404251', 'n03404251',0.8426294821
'n03404251', 'n03404251',0.8512756689
'n03404251', 'n03404251',0.8658227848
'n03404251', 'n03404251',0.8702010969
,,0.6098168749
